,geo_value,time_value,cases,deaths,doctor_visits,wili,wcli,doctor_visits_quantized,doctor_visits_randomized,doctor_visits_prior
195,25001,8/14/20,0,0,3.968587,0,0,6.0871614,30.435807,6.0871614
196,25001,8/15/20,0,0,4.119237,0.4449446,0.4449446,6.0871614,30.435807,18.2614842
197,25001,8/16/20,0,0,4.231865,0.4127179,0.4127179,6.0871614,12.1743228,6.0871614
198,25001,8/17/20,0,0,4.365832,0.4154999,0.4154999,6.0871614,60.871614,6.0871614
199,25001,8/18/20,0,0,4.588698,0.3722736,0.3722736,6.0871614,60.871614,18.2614842
200,25001,8/19/20,0,6,4.286599,0.3606613,0.3606613,6.0871614,24.3486456,6.0871614
201,25001,8/20/20,0,0,3.778425,0.37883,0.37883,6.0871614,36.5229684,6.0871614
202,25001,8/21/20,14,0,3.930894,0.3862732,0.3862732,6.0871614,30.435807,48.6972912
203,25001,8/22/20,0,0,4.142905,0,0,6.0871614,42.6101298,6.0871614
204,25001,8/23/20,0,0,4.259453,0,0,6.0871614,36.5229684,48.6972912
205,25001,8/24/20,2,0,4.352829,0.2050396,0.2050396,6.0871614,42.6101298,48.6972912
206,25001,8/25/20,6,0,4.26366,0.2304699,0.2304699,6.0871614,6.0871614,54.7844526
207,25001,8/26/20,3,1,3.858866,0.238897,0.238897,6.0871614,6.0871614,12.1743228
208,25001,8/27/20,4,0,3.646018,0.2313613,0.2313613,6.0871614,24.3486456,6.0871614
209,25001,8/28/20,7,0,3.928274,0.2091466,0.2091466,6.0871614,18.2614842,54.7844526
210,25001,8/29/20,5,0,4.196435,0,0,6.0871614,30.435807,6.0871614
211,25001,8/30/20,9,0,4.365653,0,0,6.0871614,6.0871614,12.1743228
212,25001,8/31/20,5,0,4.556023,0,0,6.0871614,30.435807,6.0871614
213,25001,9/1/20,6,0,4.608486,0,0,6.0871614,30.435807,6.0871614
214,25001,9/2/20,6,0,4.424439,0,0,6.0871614,6.0871614,54.7844526
215,25001,9/3/20,6,1,4.287724,0.1167052,0.1167052,6.0871614,18.2614842,6.0871614
216,25001,9/4/20,0,2,4.365241,0.1044938,0.1044938,6.0871614,60.871614,6.0871614
217,25001,9/5/20,0,1,4.819906,0.109322,0.109322,6.0871614,42.6101298,6.0871614
218,25001,9/6/20,0,0,5.139012,0.2973857,0.2973857,6.0871614,6.0871614,6.0871614
219,25001,9/7/20,0,0,5.374527,0.2917037,0.2917037,6.0871614,36.5229684,6.0871614
220,25001,9/8/20,16,0,5.4785,0.2998087,0.2998087,6.0871614,54.7844526,48.6972912
221,25001,9/9/20,1,0,5.394729,0.3187187,0.3187187,6.0871614,60.871614,6.0871614
222,25001,9/10/20,4,-1,5.072755,0.1995114,0.1995114,6.0871614,12.1743228,48.6972912
223,25001,9/11/20,0,1,4.695427,0.2033003,0.2033003,6.0871614,6.0871614,48.6972912
224,25001,9/12/20,9,0,4.247532,0.2388985,0.2388985,6.0871614,18.2614842,6.0871614
225,25001,9/13/20,6,0,3.851655,0,0,6.0871614,6.0871614,6.0871614
226,25001,9/14/20,1,1,3.449375,0,0,6.0871614,18.2614842,6.0871614
227,25001,9/15/20,4,0,3.589001,0,0,6.0871614,60.871614,48.6972912
228,25001,9/16/20,3,1,3.811391,0,0,6.0871614,6.0871614,18.2614842
229,25001,9/17/20,3,0,3.596053,0,0,6.0871614,24.3486456,48.6972912
230,25001,9/18/20,4,0,3.24163,0,0,6.0871614,24.3486456,48.6972912
231,25001,9/19/20,8,1,3.25828,0,0,6.0871614,30.435807,18.2614842
232,25001,9/20/20,1,0,3.330621,0,0,6.0871614,6.0871614,6.0871614
233,25001,9/21/20,7,0,3.374398,0,0,6.0871614,36.5229684,6.0871614
234,25001,9/22/20,1,1,3.900558,0,0,6.0871614,60.871614,6.0871614
235,25001,9/23/20,0,0,4.11068,0,0,6.0871614,60.871614,6.0871614
236,25001,9/24/20,8,1,3.778837,0,0,6.0871614,24.3486456,54.7844526
237,25001,9/25/20,8,0,4.135404,0,0,6.0871614,48.6972912,48.6972912
238,25001,9/26/20,14,0,4.638581,0,0,6.0871614,48.6972912,6.0871614
239,25001,9/27/20,7,0,5.090335,0,0,6.0871614,48.6972912,54.7844526
240,25001,9/28/20,9,0,5.426843,0,0,6.0871614,12.1743228,54.7844526
241,25001,9/29/20,13,0,5.813563,0,0,6.0871614,18.2614842,12.1743228
242,25001,9/30/20,7,0,5.615675,0,0,6.0871614,6.0871614,6.0871614
243,25001,10/1/20,13,0,4.971863,0,0,6.0871614,48.6972912,6.0871614
244,25001,10/2/20,8,0,4.545087,0,0,6.0871614,24.3486456,54.7844526
245,25001,10/3/20,11,0,4.319424,0,0,6.0871614,6.0871614,6.0871614
246,25001,10/4/20,6,0,4.170355,0.3684077,0,6.0871614,54.7844526,48.6972912
247,25001,10/5/20,3,0,4.07021,0.3808077,0,6.0871614,6.0871614,18.2614842
248,25001,10/6/20,5,0,4.084246,0.3798026,0,6.0871614,60.871614,48.6972912
249,25001,10/7/20,5,1,4.474733,0.378589,0,6.0871614,54.7844526,48.6972912
250,25001,10/8/20,12,0,4.737099,0.3070527,0,6.0871614,6.0871614,6.0871614
251,25001,10/9/20,6,0,5.028664,0.3031131,0,6.0871614,48.6972912,6.0871614
252,25001,10/10/20,3,1,5.835061,0.2914265,0,6.0871614,54.7844526,18.2614842
253,25001,10/11/20,5,0,6.487043,0,0,12.1743228,30.435807,18.2614842
254,25001,10/12/20,13,1,6.941179,0,0,12.1743228,36.5229684,48.6972912
255,25001,10/13/20,2,1,7.274921,0,0,12.1743228,6.0871614,54.7844526
256,25001,10/14/20,0,0,7.480634,0,0,12.1743228,12.1743228,12.1743228
257,25001,10/15/20,5,0,7.092303,0,0,12.1743228,36.5229684,6.0871614
